image,img_w,img_h,x,y,w,h,subset
a5acff75f8d049.jpg,3599,3599,1200,523,1009,667,train
c2bae9a8e6a0ca.jpg,3600,3600,1329,322,1047,748,train
9426e473359203.jpg,2275,2275,427,356,1254,882,train
c94288992bff1d.jpg,2001,2001,1397,9,321,125,train
95e2ffb2dfa67d.jpg,1513,1513,468,73,514,310,train
1ccf4c8ca7872c.jpg,3599,3599,844,548,1265,719,train
6f4b027c024532.jpg,1349,1349,230,63,293,218,train
ea9c8cbfb907e4.jpg,1172,1172,310,99,123,50,train
6a597f87fb02df.jpg,1820,1820,0,369,59,42,train
7aaf42bd29ece0.jpg,2738,2738,1901,585,518,193,train
c4290b4e831c51.jpg,1806,1806,187,312,1332,789,train
1b1fa1a181813d.jpg,3456,3456,1414,499,537,457,train
3d6301c95937f3.jpg,3504,3504,934,902,695,406,train
1237345b93a0c5.jpg,3600,3600,979,309,1541,1546,train
adc5edf2457d70.jpg,1483,1483,1371,139,112,209,train
439b19d989918e.jpg,2060,2060,1184,220,794,189,train
214912ae2634e2.jpg,1024,1024,14,1,997,733,train
c89f19397bde6f.jpg,3599,3599,1068,973,1051,617,train
8265f62b0d3df6.jpg,3599,3599,1170,18,505,223,train
de12a01a72e989.jpg,173,173,3,15,166,108,train
7ad4341f7772b2.jpg,3599,3599,1220,386,1159,758,train
a3101e68c680e5.jpg,3456,3456,1056,1079,513,425,train
1504d4bf7f6f32.jpg,3599,3599,1749,492,659,367,train
41fa2b9ae42035.jpg,3599,3599,1197,1268,78,52,train
96348f96885c7f.jpg,3599,3599,1829,956,457,156,train
802346536609f6.jpg,1024,1024,30,37,981,604,train
7cda73d0e94fa4.jpg,3456,3456,1242,325,883,671,train
f4bc2f3a56263f.jpg,3599,3599,1348,728,1030,320,train
150c876ba9ad01.jpg,1245,1245,131,92,963,637,train
46b15b536a0da2.jpg,3599,3599,605,467,2148,1425,train
962ed20c01442d.jpg,3504,3504,1202,1318,590,462,train
7ca05dc94b00a7.jpg,2930,2930,28,37,515,200,train
2fdd73e02198ec.jpg,3331,3331,1825,268,1124,628,train
7ccc343b6bbc36.jpg,3596,3596,1636,27,583,269,train
0f2f4039d31fd0.jpg,3600,3600,2116,1276,376,327,train
c30a2d8aae6f0c.jpg,3456,3456,1123,754,1063,638,train
df758f119e39c6.jpg,860,860,20,14,728,551,train
ef4626e3e5c72f.jpg,2082,2082,244,395,851,484,train
273b78f260ab7c.jpg,3456,3456,1416,742,425,395,train
c4ce464ec211b6.jpg,3599,3599,1100,255,1507,1063,train
08d0c3ae7cd40d.jpg,3456,3456,1475,604,587,508,train
7816819b5a14cb.jpg,1995,1995,651,138,639,402,train
c1ba2399e9e3fc.jpg,1934,1934,777,133,760,475,train
2ce4065abefd68.jpg,2267,2267,840,280,854,628,train
2149927d1ebc5f.jpg,1576,1576,0,169,152,156,train
94a0c7150d127f.jpg,3072,3072,838,798,378,297,train
1426d4c2517b2c.jpg,1651,1651,17,119,1620,976,train
6c16ebbad98c49.jpg,3456,3456,1576,473,792,615,train
eb08d8c45df361.jpg,2591,2591,1147,58,409,167,train
15cb9553580771.jpg,3599,3599,856,1067,1218,409,train
df3234b08fc507.jpg,3599,3599,1406,504,1223,847,train
f10e1de0d46419.jpg,879,879,8,64,865,630,train
de3b0896b5d408.jpg,3600,3600,1005,1358,216,178,train
87ed1e83a85c81.jpg,3600,3600,1700,986,689,412,train
72ce68e8566a7a.jpg,3599,3599,1229,253,867,624,train
3f1e26ca4e74de.jpg,3005,3005,779,47,467,209,train
f09605973c4cf9.jpg,3599,3599,1350,793,410,364,train
c37a97e73a4830.jpg,3599,3599,2297,287,382,186,train
f4284d60b8858e.jpg,3600,3600,940,715,1509,594,train
312723f87c257e.jpg,3456,3456,718,108,1285,990,train
7c168b90c5ef64.jpg,1652,1652,206,79,872,584,train
8033032e6e963a.jpg,3599,3599,1884,1051,227,176,train
dbc931eb42daf9.jpg,3504,3504,1932,660,1285,1109,train
e7e4c8ae505a9f.jpg,1003,1003,324,57,142,75,train
ff910f44409770.jpg,3456,3456,1574,773,291,256,train
21f0fff77c9ba1.jpg,3600,3600,1430,0,439,190,train
bd6b8086c484e4.jpg,3600,3600,1506,1156,218,109,train
7f66aff176f314.jpg,3600,3600,572,1557,741,396,train
bbaed96a32cd3d.jpg,3600,3600,1259,395,1285,760,train
8278cdcafc772d.jpg,1207,1207,3,138,147,110,train
45de39c4b2b683.jpg,2906,2906,955,32,999,431,train
595ea139982124.jpg,3600,3600,802,416,2180,1425,train
08cf975078de5f.jpg,1095,1095,560,316,269,101,train
e05ba6b35103bf.jpg,3599,3599,2114,497,906,698,train
2c9f062571073b.jpg,3599,3599,1526,610,289,299,train
e0b638dea6b25d.jpg,3599,3599,1111,373,1348,926,train
5bf06cb16396c4.jpg,3599,3599,828,415,1540,1155,train
f40f687c1775f6.jpg,3600,3600,428,1062,352,131,train
4d03b7f82e89e6.jpg,3599,3599,477,91,760,206,train
5cdc99e062770e.jpg,3456,3456,1352,474,670,570,train
987deb55d39953.jpg,3599,3599,1806,850,389,215,train
99cd75d4886176.jpg,342,342,0,35,342,257,train
bc2d0ce3b90684.jpg,1495,1495,10,0,1480,1215,train
6a557f64eb6b12.jpg,3599,3599,1383,1139,361,136,train
0eb1888f55b19d.jpg,3599,3599,159,336,941,424,train
8eda31af0df57e.jpg,3599,3599,1319,590,431,156,train
90e444c5170d76.jpg,1017,1017,319,143,488,361,train
179776360512d9.jpg,3599,3599,1703,943,436,361,train
8cfb3613d9c069.jpg,3600,3600,2586,39,438,206,train
9498be4a0d2262.jpg,847,847,333,22,219,207,train
ba9d7ea8a1c80a.jpg,2586,2586,1874,201,520,352,train
bf01bd57aa7fcb.jpg,1295,1295,328,191,563,213,train
e490e0b0e5353c.jpg,1044,1044,15,78,1019,734,train
702b8b55ba3718.jpg,641,641,50,45,515,352,train
e8821f61f0fc3e.jpg,2255,2255,1387,13,280,131,train
a82cf1cd3a65f1.jpg,3600,3600,1622,66,1512,859,train
c3afa03ba6f581.jpg,3599,3599,902,1123,201,113,train
5e1c7f7755e6ab.jpg,3599,3599,979,479,1129,1160,train
dc488b2e2b6576.jpg,1768,1768,31,111,373,155,train
7a12fd35e9e5e1.jpg,3599,3599,719,203,1714,1648,train
300fc997e8d8ea.jpg,1475,1475,647,36,292,115,train
d91df63583aa76.jpg,648,648,0,9,646,775,train
b0cf68dec1c726.jpg,3599,3599,1845,969,562,257,train
b0a551a1645554.jpg,3599,3599,3035,1221,559,615,train
25081b994fcc0e.jpg,3456,3456,1210,488,985,618,train
254829ee0af622.jpg,407,407,0,29,19,41,train
3717e6567e1644.jpg,3599,3599,880,518,492,292,train
51890a5245dad5.jpg,1718,1718,1101,136,607,506,train
240a962fdd0fa7.jpg,951,951,312,136,546,318,train
d1a32e0c8d925c.jpg,3504,3504,1550,1171,245,182,train
e2d55b9e7d1b95.jpg,1620,1620,700,600,126,50,train
584807529865d2.jpg,1691,1691,154,127,1297,870,train
9d8c8a17816e9e.jpg,2384,2384,1369,19,319,141,train
bc10ad60f824d2.jpg,2577,2577,946,46,476,178,train
8ca174b30d6d54.jpg,973,973,195,148,601,364,train
1d8e7f6076c294.jpg,3456,3456,1293,620,707,486,train
edee91cb67770b.jpg,3600,3600,1408,1201,875,483,train
7326ba6053cb85.jpg,2308,2308,651,131,1059,759,train
bdbabce3f48573.jpg,1365,1365,498,57,434,223,train
1c9744fb539857.jpg,3456,3456,1466,748,539,372,train
f2863d4f01f14c.jpg,1456,1456,521,94,211,82,train
13059bd9965ac5.jpg,3456,3456,1207,107,1315,775,train
f607097930751c.jpg,3456,3456,1263,556,869,581,train
aee743371c10a5.jpg,1689,1689,255,157,1072,502,train
8bc9dd4641f926.jpg,3000,3000,311,11,2604,1402,train
90291352c46c30.jpg,3599,3599,1539,1573,746,251,train
00354cd9244e28.jpg,2240,2240,1423,559,247,139,train
1ff6b2a76995c6.jpg,3504,3504,1102,1497,541,412,train
b3681271f9613c.jpg,275,275,1,12,272,230,train
505f6667ee02df.jpg,1249,1249,666,8,201,109,train
d8d71172d22152.jpg,952,952,210,76,426,277,train
4288eff858291b.jpg,1497,1497,329,264,806,552,train
ebcf8edaa0532a.jpg,3599,3599,1497,1319,240,202,train
ca116b15971e2d.jpg,2318,2318,22,132,2273,1764,train
edaffcc48e83ce.jpg,3600,3600,874,929,729,663,train
da4371af24826b.jpg,3456,3456,2295,691,559,372,train
5d45175656c0f7.jpg,2786,2786,1533,361,989,269,train
39f74f0468be57.jpg,806,806,409,27,128,54,train
21b39d50fcc311.jpg,519,519,60,59,392,274,train
726a27658f6b0a.jpg,3599,3599,2619,919,176,114,train
eae9f8a1b8f320.jpg,3600,3600,2285,758,344,167,train
e559f6db47c975.jpg,768,768,93,129,629,377,train
af3df3ae8da94b.jpg,3599,3599,1677,911,403,327,train
b871d4a7b2effa.jpg,3456,3456,1288,549,952,601,train
8d63b0b827b79f.jpg,3600,3600,1944,1354,299,127,train
38a2ef77b3fcd7.jpg,3456,3456,1105,501,472,329,train
bdc96102868d97.jpg,3456,3456,1418,851,477,265,train
e97b29286708fe.jpg,2188,2188,925,588,232,251,train
8584204c43239c.jpg,3504,3504,1302,666,644,525,train
774c7a81fe480c.jpg,1944,1944,229,432,1078,483,train
4dc42141730b1f.jpg,808,808,584,84,155,52,train
d9066e10355b79.jpg,3599,3599,1265,423,1153,1080,train
6dcf35e82aa98c.jpg,2151,2151,645,305,854,583,train
5021dc9334beef.jpg,3600,3600,1361,1747,739,875,train
db47280bfa21ff.jpg,2297,2297,1295,851,103,54,train
7724856991118e.jpg,1182,1182,839,35,336,145,train
379e81962a74d5.jpg,689,689,8,7,675,629,train
acf413bfa44cc4.jpg,3504,3504,1307,329,1149,729,train
6375ed06bef21f.jpg,406,406,10,81,355,247,train
a8e729cf04cd3b.jpg,3504,3504,1623,947,292,206,train
baceda7c5f614a.jpg,1592,1592,700,348,440,142,train
f21b5f51add957.jpg,1256,1256,15,43,1195,984,train
541852e0df065e.jpg,3456,3456,1407,716,782,549,train
67d4e12c47d7c8.jpg,937,937,88,10,725,397,train
7bd32475a1d4e5.jpg,1449,1449,14,32,1403,1122,train
52a26e5029b878.jpg,2420,2420,1290,0,1112,690,train
9d698e4f4627d7.jpg,3600,3600,2096,835,1033,630,train
c2c4c58dd7305c.jpg,3600,3600,1666,928,380,340,train
fcec3c6a82183b.jpg,2769,2769,1510,63,554,237,train
9f4d8659ad2fbf.jpg,3599,3599,1170,1069,439,341,train
daa2dfa70720fc.jpg,3599,3599,1727,12,746,480,train
42d48965e96f08.jpg,921,921,188,118,507,422,train
02f7aa03e9174b.jpg,3599,3599,1852,991,267,213,train
e8ac8fb806f44f.jpg,3599,3599,1274,1038,1126,642,train
fbef59e7c8918c.jpg,3072,3072,1197,897,401,248,train
d9354d91a4274c.jpg,3456,3456,1104,611,767,521,train
fbe5070c6831a3.jpg,3600,3600,1429,806,659,226,train
34f552cb310d64.jpg,3600,3600,1322,550,1459,531,train
5cacd8fd2bfefc.jpg,3428,3428,1655,27,367,168,train
cabcb3af7045c1.jpg,3599,3599,1510,317,366,126,train
908d55dd160660.jpg,1789,1789,490,152,833,744,train
ddb0f5cc872c79.jpg,890,890,1,65,154,82,train
67454e28e1db85.jpg,3599,3599,1475,638,932,247,train
efd1715452093f.jpg,3599,3599,1200,1270,263,91,train
51223a4a046745.jpg,3599,3599,1857,1004,323,474,train
4013e9fec8e758.jpg,3504,3504,1365,484,1015,639,train
a4f48bcb322a58.jpg,1728,1728,140,218,794,678,train
6a2099889ced29.jpg,483,483,0,4,483,535,train
8897da94777a0e.jpg,789,789,48,47,685,390,train
7634d70544ac4c.jpg,1106,1106,884,37,101,55,train
a4bbd49540f12f.jpg,448,448,0,2,445,532,train
f476b3e8ab8b6f.jpg,3504,3504,1497,616,1087,657,train
c278be7188a9fd.jpg,3072,3072,1456,633,1217,839,train
4dc38ff50cbef3.jpg,2057,2057,517,640,91,55,train
b61b1f0b3d794b.jpg,3599,3599,1659,1277,220,176,train
ed42156254e61c.jpg,3599,3599,1081,581,1091,715,train
b0a021f0acc92a.jpg,1816,1816,751,516,458,136,train
5b78d811fc2a44.jpg,3456,3456,1232,723,769,389,train
f5f29bf8471745.jpg,300,300,0,0,276,354,train
f64b3305230a40.jpg,1396,1396,0,6,1396,1541,train
ba648ed0aa4a1a.jpg,838,838,6,26,815,731,train
0448fd61b9f588.jpg,3600,3600,292,256,2819,1279,train
f6a4745d533fce.jpg,3456,3456,1201,521,941,756,train
08ba370b673dfe.jpg,2784,2784,1543,520,1202,316,train
bfd9de4e6d7989.jpg,2972,2972,792,56,2171,1692,train
e5c144dcc22b44.jpg,3504,3504,453,476,2449,1787,train
5feddf7e30bfce.jpg,3599,3599,1156,1373,492,284,train
a77e4486804735.jpg,2699,2699,1480,231,1115,264,train
2bfda90ac3c436.jpg,2648,2648,0,265,231,204,train
5552d80f3f4ffb.jpg,665,665,0,39,101,49,train
af234d8de9a0f7.jpg,2378,2378,1478,166,828,460,train
2bc0c3238a6869.jpg,3294,3294,61,219,1107,549,train
cf5e1ca0d85b4c.jpg,2146,2146,716,53,388,179,train
a194c6a502d488.jpg,3599,3599,1600,698,436,329,train
7c87831da2fe52.jpg,2565,2565,689,140,1162,1078,train
648f90e1e770c2.jpg,1177,1177,477,28,210,75,train
59279afbb26d7b.jpg,3599,3599,1854,1034,657,232,train
027d3c8f7aad2a.jpg,1479,1479,105,149,1252,850,train
28be7efceffdec.jpg,3504,3504,1656,806,451,356,train
58c7125ec98e9c.jpg,3599,3599,1302,665,479,545,train
4f7f08f509ec1d.jpg,707,707,215,3,454,285,train
5ce7655fe966ab.jpg,757,757,30,4,569,348,train
54b7c06add2371.jpg,326,326,4,24,319,278,train
330f022fda39c9.jpg,631,631,0,11,627,626,train
2899dbc4f68ac2.jpg,922,922,0,115,100,101,train
2571655634af59.jpg,3599,3599,1792,1004,609,475,train
c80c4b9a612416.jpg,3600,3600,1388,2,1132,365,train
e8cb985e6a89df.jpg,3311,3311,576,679,1261,759,train
09d7cd449db96b.jpg,2784,2784,1521,786,399,121,train
17fdad711c3672.jpg,3426,3426,949,439,1308,1261,train
41c5e4e1cf1207.jpg,730,730,218,37,120,45,train
5732a5ac347fe7.jpg,1880,1880,1161,186,342,113,train
ed64d71be3800f.jpg,1366,1366,553,276,231,126,train
e50f0a3d758bbf.jpg,3600,3600,1159,703,352,192,train
4b4ed249665c1b.jpg,2787,2787,371,353,2198,1163,train
d52b3885d30013.jpg,3504,3504,1089,197,1056,1119,train
22e2cb6dd6e66d.jpg,1050,1050,194,65,142,78,train
1857180ce440d9.jpg,3600,3600,2021,1407,725,237,train
3a21d8696130ed.jpg,1006,1006,14,72,985,649,train
168f2c7efa3767.jpg,3599,3599,1392,1119,218,148,train
a98c6861b3cfbf.jpg,1312,1312,49,36,1253,1010,train
55c76015ad5926.jpg,3504,3504,937,452,1646,999,train
c1bb42ce48e3e3.jpg,3599,3599,1068,888,227,165,train
4ffc4594d16f07.jpg,3504,3504,1092,750,446,325,train
c2a7d75640cea6.jpg,3435,3435,1625,8,380,175,train
aed656e1224ee8.jpg,3456,3456,1113,334,1048,660,train
b3d1ee5d1cb4b6.jpg,3469,3469,1915,394,508,173,train
d0f27354d996a0.jpg,3600,3600,1455,928,315,264,train
10c21f4d586e1c.jpg,3600,3600,1185,1085,234,190,train
46d8fe145b4c73.jpg,556,556,1,11,525,468,train
58ea9130da6225.jpg,3599,3599,749,603,780,566,train
6b1ffe77d7037b.jpg,3599,3599,2464,1521,529,173,train
376d18b1da78b7.jpg,1811,1811,1,220,67,311,train
d46edae5df9d56.jpg,2003,2003,1425,282,359,212,train
325878686b6736.jpg,2240,2240,660,641,252,83,train
68e0261adafaad.jpg,2094,2094,957,237,573,412,train
42268ecba7991a.jpg,1534,1534,1176,107,267,133,train
aaa4b77b79d309.jpg,3504,3504,1629,649,310,320,train
b7016ad41d3ba4.jpg,2972,2972,235,176,2074,1514,train
1047e5ea4b9279.jpg,1496,1496,28,37,1438,914,train
72bba60e8f479c.jpg,3599,3599,1738,1001,227,153,train
b86a9ae87c3593.jpg,2142,2142,554,120,977,738,train
434e23e4224c43.jpg,1817,1817,295,409,959,602,train
5ab80432c12d1c.jpg,3504,3504,1006,442,1625,935,train
92272b88969ee1.jpg,3456,3456,1299,599,568,464,train
50fcec2394a380.jpg,1152,1152,123,118,905,611,train
6beb8c0bdb968f.jpg,1839,1839,1279,161,553,425,train
8be44af68df9d2.jpg,3599,3599,1249,1337,274,123,train
da2fce2547fd52.jpg,3599,3599,1544,440,183,128,train
6e38ea2ffec7e0.jpg,3456,3456,1487,939,477,394,train
511e0dd05d290a.jpg,351,351,134,13,207,89,train
7e167d72fc35aa.jpg,2304,2304,1181,772,224,151,train
683f994f1e6594.jpg,3456,3456,986,84,1221,953,train
c4b8e1f27cb13c.jpg,2667,2667,721,15,308,125,train
870382768abf73.jpg,3504,3504,1230,352,352,283,train
66d46f696644c2.jpg,3599,3599,1843,50,562,240,train
bcf079ac1a1ad0.jpg,3456,3456,1362,1035,488,393,train
e372bd620cee9e.jpg,2476,2476,393,169,1597,572,train
213862f0650032.jpg,1193,1193,9,96,1175,843,train
467bec550450fb.jpg,3599,3599,2148,99,495,167,train
acf259e90c87cc.jpg,3504,3504,1533,688,469,401,train
7e5f2e881107b6.jpg,3599,3599,1898,932,674,430,train
67a4101dc3d6cf.jpg,487,487,0,0,464,91,train
5076265bf08678.jpg,690,690,0,6,690,721,train
3d4ed91fc8bcd2.jpg,435,435,95,64,259,188,train
3a096f13c70da1.jpg,2148,2148,1474,69,626,444,train
ece0e6f2719216.jpg,3599,3599,1302,880,816,640,train
57f43b598f856d.jpg,3599,3599,1361,861,358,355,train
299be2613aa8f5.jpg,1580,1580,1095,33,196,93,train
